"source","date","assertionType","evidenceType","prefix","exactText","suffix","modality","statementType","comment","drug1Lab","drug1Type","drug1Role","dose1","drug2Lab","drug2Type","drug2Role","dose2","objectRegimens","objectFormulation","objectDuration","preciptRegimens","preciptFormulation","preciptDuration","numOfParticipants","auc","aucType","aucDirection","clearance","clearanceType","clearanceDirection","cmax","cmaxType","cmaxDirection","halflife","halflifeType","halflifeDirection"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/1809bcb4-5fcc-45ca-986a-4fa5edcd4b5e.html","2015-09-29 09:58:27 -0400","drug-drug-interaction","evidence-supports","er tricyclic antidepressants.  ","The plasma concentration of CMI has been reported to be increased by the concomitant administration of haloperidol; plasma levels of several closely related tricyclic antidepressants have been reported to be increased by the concomitant administration of methylphenidate or hepatic enzyme inhibitors (e.g., cimetidine, fluoxetine) and decreased by the concomitant administration of hepatic enzyme inducers (e.g., barbiturates, phenytoin), and such an effect may be anticipated with CMI as well. Administration of CMI has been reported to increase the plasma levels of phenobarbital, if given concomitantly (see CLINICAL PHARMACOLOGY, Interactions).","","ncit:positive","ncit:Qualitative",,"tricyclic antidepressants","dikbD2R:drug-group","dikbD2R:object-drug-of-interaction","","hepatic enzyme inducers","dikbD2R:drug-group","dikbD2R:precipitant-drug-of-interaction","","","","","","","","","","","","","","","","","","","",""
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/c25f968b-7037-4f60-9a02-2189769b0cbf.html","2015-10-28 16:36:27 -0400","DDI-clinical-trial","evidence-supports"," of these changes is unknown.  ","In a placebo-controlled trial in normal volunteers, the administration of two doses of sertraline did not significantly alter steady-state lithium levels or the renal clearance of lithium.","","ncit:negative","ncit:quantitative",,"sertraline","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","Unk","lithium","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","Unk","UNK","UNK","Unk","UNK","UNK","Unk","Unk","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/16a4a314-f97e-4e91-95e9-576a3773d284.html","2015-09-30 10:48:18 -0400","DDI-clinical-trial","evidence-supports","pharmacokinetics of lithium .  ","Lorazepam-There was no pharmacokinetic interaction between a single dose of Savella (50 mg) and lorazepam (1.5 mg). ","","ncit:negative","ncit:quantitative",,"lorazepam","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","50","Savella","dikbD2R:drug-product","dikbD2R:object-drug-of-interaction","1.5","SD","tablet","1","SD","tablet","1","Unk","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/326e8ab0-6886-4749-9544-885b37070051.html","2015-10-28 14:38:28 -0400","DDI-clinical-trial","evidence-supports",").  Drug-Drug Interactions    ","In vitro drug interaction studies reveal that paroxetine inhibits CYP2D6. Clinical drug interaction studies have been performed with substrates of CYP2D6 and show that paroxetine can inhibit the metabolism of drugs metabolized by CYP2D6 including desipramine, risperidone, and atomoxetine (see PRECAUTIONS: Drug Interactions)","","ncit:positive","ncit:quantitative",,"paroxetine","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","Unk","atomoxetine","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","Unk","UNK","UNK","Unk","UNK","UNK","Unk","Unk","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/75bf3473-2d70-4d41-93cd-afa1015e45bb.html","2015-10-01 10:49:57 -0400","drug-drug-interaction","evidence-supports","","In addition, certain drugs inhibit the activity of this isozyme and make normal metabolizers resemble poor metabolizers. An individual who is stable on a given dose of TCA may become abruptly toxic when given one of these inhibiting drugs as concomitant therapy. The drugs that inhibit cytochrome P450 2D6 include some that are not metabolized by the enzyme (quinidine; cimetidine) and many that are substrates for P450 2D6 (many other antidepressants, phenothiazines, and the Type 1C antiarrhythmics propafenone and flecainide). While all the selective serotonin reuptake inhibitors (SSRIs), e.g., fluoxetine, sertraline, and paroxetine, inhibit P450 2D6, they may vary in the extent of inhibition. The extent to which SSRI-TCA interactions may pose clinical problems will depend on the degree of inhibition and the pharmacokinetics of the SSRI involved. Nevertheless, caution is indicated in the co-administration of TCAs with any of the SSRIs and also in switching from one class to the other. Of particular importance, sufficient time must elapse before initiating TCA treatment in a patient being withdrawn from fluoxetine, given the long half-life of the parent and active metabolite (at least 5 weeks may be necessary",")","ncit:positive","ncit:Qualitative",,"flecainide","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","","TCA","dikbD2R:drug-group","dikbD2R:object-drug-of-interaction","","","","","","","","","","","","","","","","","","","",""
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/326e8ab0-6886-4749-9544-885b37070051.html","2015-10-28 15:23:31 -0400","DDI-clinical-trial","evidence-supports","IONS and WARNINGS .  Pimozide  ","In a controlled study of healthy volunteers, after paroxetine was titrated to 60 mg daily, coadministration of a single dose of 2 mg pimozide was associated with mean increases in pimozide AUC of 151% and Cmax of 62%, compared to pimozide administered alone. The increase in pimozide AUC and Cmax is due to the CYP2D6 inhibitory properties of paroxetine. Due to the narrow therapeutic index of pimozide and its known ability to prolong the QT interval, concomitant use of pimozide and paroxetine is contraindicated (see CONTRAINDICATIONS).","","ncit:positive","ncit:quantitative",,"pimozide","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","2","paroxetine","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","60","SD","Oral","1","Daily","Oral","Unk","Unk","151","Percent","Increase","Unk","UNK","UNK","62","Percent","Increase","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4259d9b1-de34-43a4-85a8-41dd214e9177.html","2015-11-02 13:56:21 -0500","DDI-clinical-trial","evidence-supports","","Carbamazepine - Combined administration of Celexa (40 mg/day for 14 days) and carbamazepine (titrated to 400 mg/day for 35 days) did not significantly affect the pharmacokinetics of carbamazepine, a CYP3A4 substrate. Although trough citalopram plasma levels were unaffected, given the enzyme-inducing properties of carbamazepine, the possibility that carbamazepine might increase the clearance of citalopram should be considered if the two drugs are coadministered.","","ncit:negative","ncit:quantitative",,"Celexa","dikbD2R:drug-product","dikbD2R:precipitant-drug-of-interaction","40","carbamazepine","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","400","Daily","Oral","35","Daily","Oral","14","Unk","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/55816042-946d-4bec-9461-bd998628ff45.html","2015-10-14 11:57:06 -0400","drug-drug-interaction","evidence-supports","tantly administered rifampin.  ","Rifampin has been reported to substantially decrease the plasma concentrations of the following antiviral drugs: atazanavir, darunavir, fosamprenavir, saquinavir, and tipranavir. These antiviral drugs must not be co-administered with rifampin. (See CONTRAINDICATIONS.) ","","ncit:positive","ncit:Qualitative",,"Rifampin","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","","tipranavir","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","","","","","","","","","","","","","","","","","","","",""
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/b891bd9f-fdb8-4862-89c5-ecdd700398a3.html","2015-10-27 14:13:01 -0400","DDI-clinical-trial","evidence-supports","","Ketoconazole    Seven-day treatment with ketoconazole (200 mg per day), a potent inhibitor of CYP3A4, did not affect the steady-state pharmacokinetics of selegiline in subjects who received EMSAM 6 mg per 24 hours for 7 days and no differences in the pharmacokinetics of ketoconazole were observed [see Drug Interactions (7.4) and (7.5)]. ","","ncit:negative","ncit:quantitative",,"selegiline","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","6","ketoconazole","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","200","Daily","Oral","7","Daily","transdermal","7","Unk","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/326e8ab0-6886-4749-9544-885b37070051.html","2015-09-14 11:32:07 -0400","drug-drug-interaction","evidence-supports","d.  Fosamprenavir / Ritonavir  ","Coadministration of fosamprenavir/ritonavir with paroxetine significantly decreased plasma levels of paroxetine. Any dose adjustment should be guided by clinical effect (tolerability and efficacy)","","ncit:positive","ncit:Qualitative",,"paroxetine","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","","fosamprenavir","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","","","","","","","","","","","","","","","","","","","",""
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/13bb8267-1cab-43e5-acae-55a4d957630a.html","2015-11-02 14:22:34 -0500","DDI-clinical-trial","evidence-supports","   7.8 Digoxin   ","In subjects who had received 21 days of 40 mg/day racemic citalopram, combined administration of citalopram and digoxin (single dose of 1 mg) did not significantly affect the pharmacokinetics of either citalopram or digoxin. ","","ncit:negative","ncit:quantitative",,"digoxin","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","1","citalopram","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","40","SD","Oral","1","Daily","Oral","21","Unk","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5f356c1b-96bd-4ef1-960c-91cf4905e6b1.html","2015-09-10 14:36:47 -0400","drug-drug-interaction","evidence-supports","","Antipsychotics — Some clinical data suggests a possible pharmacodynamic and/or pharmacokinetic interaction between SSRIs and antipsychotics. Elevation of blood levels of haloperidol and clozapine has been observed in patients receiving concomitant fluoxetine. ","","ncit:positive","ncit:Qualitative",,"fluoxetine","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","","haloperidol","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","","","","","","","","","","","","","","","","","","","",""
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/a16297df-3158-48db-85e5-5cd506885556.html","2015-09-29 09:27:10 -0400","drug-drug-interaction","evidence-supports","se in plasma AUC of the TCA).  ","In addition, certain drugs inhibit the activity of this isozyme and make normal metabolizers resemble poor metabolizers. An individual who is stable on a given dose of TCA may become abruptly toxic when given one of these inhibiting drugs as concomitant therapy. The drugs that inhibit cytochrome P450 2D6 include some that are not metabolized by the enzyme (quinidine, cimetidine) and many that are substrates for P450 2D6 (many other antidepressants, phenothiazines, and the Type 1C antiarrhythmics propafenone and flecainide). While all the selective serotonin reuptake inhibitors (SSRIs), e.g., fluoxetine, sertraline, and paroxetine, inhibit P450 2D6, they may vary in the extent of inhibition. The extent to which SSRI-TCA interactions may pose clinical problems will depend on the degree of inhibition and the pharmacokinetics of the SSRI involved. Nevertheless, caution is indicated in the co-administration of TCAs with any of the SSRIs and also in switching from one class to the other. Of particular importance, sufficient time must elapse before initiating TCA treatment in a patient being withdrawn from fluoxetine, given the long half-life of the parent and active metabolite (at least 5 weeks may be necessary).","","ncit:positive","ncit:Qualitative",,"quinidine","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","","TCA","dikbD2R:drug-group","dikbD2R:object-drug-of-interaction","","","","","","","","","","","","","","","","","","","",""
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/53664f8d-3a93-9f2b-daee-380707e4062c.html","2015-09-10 15:01:13 -0400","drug-drug-interaction","evidence-supports","yclic Antidepressants (TCAs)   ","Significantly increased plasma TCA levels have been reported with the coadministration of fluvoxamine maleate and amitriptyline, clomipramine or imipramine. Caution is indicated with the coadministration of fluvoxamine maleate tablets and TCAs; plasma TCA concentrations may need to be monitored, and the dose of TCA may need to be reduced.","","ncit:positive","ncit:Qualitative",,"fluvoxamine maleate","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","","imipramine","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","","","","","","","","","","","","","","","","","","","",""
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/ea35caf8-c8c8-481a-97a2-25f68cbc240b.html","2015-09-29 09:04:36 -0400","drug-drug-interaction","evidence-supports","e in plasma AUC of the TCA ).  ","In addition, certain drugs inhibit the activity of this isozyme and make normal metabolizers resemble poor metabolizers. An individual who is stable on a given dose of TCA may become abruptly toxic when given one of these inhibiting drugs as concomitant therapy. The drugs that inhibit cytochrome P450 2D6 include some that are not metabolized by the enzyme (quinidine; cimetidine) and many that are substrates for P450 2D6 (many other antidepressants, phenothiazines, and the Type 1C antiarrhythmics propafenone and flecainide). While all the selective serotonin reuptake inhibitors (SSRIs), e.g., fluoxetine, sertraline, and paroxetine, inhibit P450 2D6, they may vary in the extent of inhibition. The extent to which SSRI-TCA interactions may pose clinical problems will depend on the degree of inhibition and the pharmacokinetics of the SSRI involved. Nevertheless, caution is indicated in the coadministration of TCAs with any of the SSRIs and also in switching from one class to the other. Of particular importance, sufficient time must elapse before initiating TCA treatment in a patient being withdrawn from fluoxetine, given the long half-life of the parent and active metabolite (at least 5 weeks may be necessary).","","ncit:positive","ncit:Qualitative",,"sertraline","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","","TCA","dikbD2R:drug-group","dikbD2R:object-drug-of-interaction","","","","","","","","","","","","","","","","","","","",""
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/829a4f51-c882-4b64-81f3-abfb03a52ebe.html","2015-10-29 09:10:04 -0400","DDI-clinical-trial","evidence-supports"," Drugs Metabolized by CYP2D6   ","Duloxetine is a moderate inhibitor of CYP2D6. When duloxetine was administered (at a dose of 60 mg twice daily) in conjunction with a single 50 mg dose of desipramine, a CYP2D6 substrate, the AUC of desipramine increased 3-fold [see WARNINGS AND PRECAUTIONS (5.12)]. ","","ncit:positive","ncit:quantitative",,"desipramine","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","50","duloxetine","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","60","SD","Oral","1","BID","Oral","Unk","Unk","3","Fold","Increase","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/010f9162-9f7f-4b6d-a6e4-4f832f26f38e.html","2015-10-29 10:33:12 -0400","DDI-clinical-trial","evidence-supports","  Phenytoin  ","In healthy male patients (n=18), phenytoin (200 mg daily) increased mirtazapine (30 mg daily) clearance about 2-fold, resulting in a decrease in average plasma mirtazapine concentrations of 45%. Mirtazapine did not significantly affect the pharmacokinetics of phenytoin.","","ncit:positive","ncit:quantitative",,"phenytoin","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","200","mirtazapine","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","30","Daily",,"Unk","Daily","Oral","Unk","18","Unk","UNK","UNK","2","Fold","Increase","Unk","UNK","UNK","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/16a4a314-f97e-4e91-95e9-576a3773d284.html","2015-09-30 10:48:18 -0400","DDI-clinical-trial","evidence-supports","0 mg) and lorazepam (1.5 mg).  ","Pregabalin-There were no clinically significant changes in the steady-state pharmacokinetics of milnacipran or pregabalin following twice a day co-administration of 50 mg milnacipran and 150 mg pregabalin. ","","ncit:negative","ncit:quantitative",,"pregabalin","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","50","milnacipran","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","150","BID","tablet","Unk","BID","tablet","Unk","Unk","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/b891bd9f-fdb8-4862-89c5-ecdd700398a3.html","2015-10-27 13:28:11 -0400","DDI-clinical-trial","evidence-supports","","Ibuprofen    In subjects who had received EMSAM 6 mg per 24 hours for 11 days, combined administration with the CYP2C9 substrate ibuprofen (800 mg single dose) did not affect the pharmacokinetics of either selegiline or ibuprofen [see Drug Interactions (7.4) and (7.5)]. ","","ncit:negative","ncit:quantitative",,"ibuprofen","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","800","EMSAM","dikbD2R:drug-product","dikbD2R:object-drug-of-interaction","6","Daily","transdermal","11","SD","Oral","1","Unk","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK"
