"document"	"useremail"	"claimlabel"	"claimtext"	"method"	"relationship"	"drug1"	"drug2"	"precipitant"	"enzyme"	"rejected"	"evRelationship"	"participants"	"participantstext"	"drug1dose"	"drug1formulation"	"drug1duration"	"drug1regimens"	"drug1dosetext"	"drug2dose"	"phenotypetype"	"phenotypevalue"	"phenotypemetabolizer"	"phenotypepopulation"	"drug2formulation"	"drug2duration"	"drug2regimens"	"drug2dosetext"	"aucvalue"	"auctype"	"aucdirection"	"auctext"	"cmaxvalue"	"cmaxtype"	"cmaxdirection"	"cmaxtext"	"clearancevalue"	"clearancetype"	"clearancedirection"	"clearancetext"	"halflifevalue"	"halflifetype"	"halflifedirection"	"halflifetext"	"dipsquestion"	"reviewer"	"reviewerdate"	"reviewertotal"	"reviewerlackinfo"	"grouprandomization"	"parallelgroupdesign"	"id"
"http://localhost/wolters/wolters15545884.html"	"annotat4@gmail.com"	"clarithromycin_interact with_simvastatin"	"A 77-year-old man with dyslipidemia treated with simvastatin was prescribed a course of clarithromycin by his general practitioner for an upper respiratory tract infection. He subsequently presented to the hospital with generalized muscle pain, weakness, and inability to walk"	"Case Report"	"interact with"	"clarithromycin"	"simvastatin"	"drug1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AVnK-vmx1_rzbHfMC-T-"
"http://localhost/wolters/wolters15545884.html"	"annotat4@gmail.com"	"clarithromycin_interact with_simvastatin"	"A 77-year-old man with dyslipidemia treated with simvastatin was prescribed a course of clarithromycin by his general practitioner for an upper respiratory tract infection. He subsequently presented to the hospital with generalized muscle pain, weakness, and inability to walk"	"Case Report"	"interact with"	"clarithromycin"	"simvastatin"	"drug1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AVnK9k0V1_rzbHfMC-T8"
"http://localhost/sage/sage15069169.html"	"annotat4@gmail.com"	"amiodarone_interact with_simvastatin"	"Due to a suspected drug interaction of simvastatin with amiodarone, both drugs were stopped"	"Case Report"	"interact with"	"amiodarone"	"simvastatin"	"drug1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AVnK4BVV1_rzbHfMC-T4"
"http://localhost/sage/sage15956236.html"	"annotat4@gmail.com"	"fluvastatin_interact with_colchicine"	"He had been taking fluvastatin 80 mg/day for 2 years, and for 10 days before presentation, he had also been taking colchicine 1.5 mg/day for acute gouty arthritis. Three days after initiation of colchicine therapy, the man started reporting stomach ache and nausea. He later developed increasingly severe pains in his arms and legs as well as weakness."	"Case Report"	"interact with"	"fluvastatin"	"colchicine"	"drug1"	""	""	""	""	""	"80"	"UNK"	"730"	"QD"	""	"1.5"	""	""	""	""	"UNK"	"1"	"QD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No|Yes|Yes|Yes|NA|UNK/NA|Yes|UNK/NA|Yes|NA"	"External"	"01/23/2017"	2	""	""	""	"AVnKtr0u1_rzbHfMC-Tz"
"http://localhost/sage/sage15914514.html"	"annotat4@gmail.com"	"pravastatin_interact with_colchicine"	"She had been taking pravastatin 20 mg once daily for 6 years. On admission, blood urea nitrogen and serum creatinine levels were 48 mg/dL and 1.3 mg/dL, respectively. Colchicine 1.5 mg/day was added to the treatment regimen, but 20 days after the initiation of colchicine therapy, symmetrical proximal muscle weakness developed in the woman's legs. Physical examination, laboratory findings, and electromyelogram findings suggested myopathy"	"Case Report"	"interact with"	"pravastatin"	"colchicine"	"drug1"	""	""	""	""	""	"20"	"UNK"	"2190"	"QD"	""	"1.5"	""	""	""	""	"UNK"	"1"	"QD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No|Yes|Yes|Yes|NA|UNK/NA|Yes|UNK/NA|Yes|NA"	"External"	"01/23/2017"	2	""	""	""	"AVnKljp11_rzbHfMC-Tu"
"http://localhost/taylorFrancis/taylor17931461.html"	"annotat4@gmail.com"	"simvastatin_interact with_vildagliptin"	"The 90% confidence intervals of C(max) and AUC(tau) of vildagliptin, simvastatin, and simvastatin beta-hydroxy acid were between 80 and 125% (bioequivalence range) when vildagliptin and simvastatin were admin istered alone and in combination. These data indicate that the rate and extent of absorption of vildagliptin and simvastatin were not affected when co-administered, nor was the metabolic conversion of simvastatin to its active metabolite. All treatments were safe and well tolerated in this study.CONCLUSIONS: The pharmacokinetics of vildagliptin, simvastatin, and its active metabolite were not altered when vildagliptin and simvastatin were co-administered"	"DDI clinical trial"	"interact with"	"simvastatin"	"vildagliptin"	"drug1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AVnKTeMj1_rzbHfMC-Tp"
"http://localhost/taylorFrancis/taylor17931461.html"	"annotat4@gmail.com"	"vildagliptin_interact with_simvastatin"	"The 90% confidence intervals of C(max) and AUC(tau) of vildagliptin, simvastatin, and simvastatin beta-hydroxy acid were between 80 and 125% (bioequivalence range) when vildagliptin and simvastatin were admin istered alone and in combination. These data indicate that the rate and extent of absorption of vildagliptin and simvastatin were not affected when co-administered, nor was the metabolic conversion of simvastatin to its active metabolite. All treatments were safe and well tolerated in this study.CONCLUSIONS: The pharmacokinetics of vildagliptin, simvastatin, and its active metabolite were not altered when vildagliptin and simvastatin were co-administered"	"DDI clinical trial"	"interact with"	"vildagliptin"	"simvastatin"	"drug1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AVnKSbD91_rzbHfMC-To"
"http://localhost/elsevier/elsevier14984623.html"	"annotat4@gmail.com"	"linezolid_interact with_citalopram"	"Once the drug–drug interaction between linezolid, a monoamine oxidase inhibitor and citalopram, a selective serotonin reuptake inhibitor (SSRI), was identified, citalopram was discontinued"	"Case Report"	"interact with"	"linezolid"	"citalopram"	"drug1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	"External"	"01/23/2017"	"NA"	""	""	""	"AVnKGkkO1_rzbHfMC-Th"
"http://localhost/springer/springer18193210.html"	"annotat4@gmail.com"	"atorvastatin_interact with_verapamil"	"Pharmacokinetics of verapamil were significantly altered by the coadministration of atorvastatin compared with those of without atorvastatin. For example, the total area under the plasma-concentration time curve to the last measured time, 24 h, in plasma (AUC0−24 h) of verapamil increased significantly by 42.8%"	"DDI clinical trial"	"interact with"	"atorvastatin"	"verapamil"	"drug1"	""	""	"supports"	"12"	"Twelve healthy male Korean volunteers with an age of 23.8 ± 1.42 (range 22–27) years, weight of 66.3 ± 2.58  (range 61–70) kg, and height of 172 ± 4.04  (range 164–178) cm participated in the study"	"40"	"Oral"	"UNK"	"UNK"	""	"60"	""	""	""	""	"Oral"	"UNK"	"UNK"	""	"42.8"	"Percent"	"Increase"	"Mean (± standard deviation) pharmacokinetic parameters of verapamil and norverapamil after oral administration of verapamil (60 mg) in the presence or absence of oral atorvastatin (40 mg) in healthy subjects (n = 12)"	"22.5"	"Percent"	"Increase"	"Mean (± standard deviation) pharmacokinetic parameters of verapamil and norverapamil after oral administration of verapamil (60 mg) in the presence or absence of oral atorvastatin (40 mg) in healthy subjects (n = 12)"	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVmW1Hmu1_rzbHfMC-RJ"
"http://localhost/springer/springer18193210.html"	"annotat4@gmail.com"	"atorvastatin_interact with_norverapamil"	"Although the AUC0−24 h of norverapamil was not significantly different between two groups of humans, the AUC0−24 h, norverapamil/ AUC0−24 h, verapamil ratio was significantly reduced (27.5% decrease) with atorvastatin."	"DDI clinical trial"	"interact with"	"atorvastatin"	"norverapamil"	"drug1"	""	""	"supports"	"12"	"Twelve healthy male Korean volunteers with an age of 23.8 ± 1.42 (range 22–27) years, weight of 66.3 ± 2.58  (range 61–70) kg, and height of 172 ± 4.04  (range 164–178) cm participated in the study"	"40"	"Oral"	"UNK"	"UNK"	""	""	""	""	""	""	""	""	""	""	"unchanged"	""	""	"Although the AUC0−24 h of norverapamil was not significantly different between two groups of humans"	"4.3"	"Percent"	"Increase"	"Mean (± standard deviation) pharmacokinetic parameters of verapamil and norverapamil after oral administration of verapamil (60 mg) in the presence or absence of oral atorvastatin (40 mg) in healthy subjects (n = 12)"	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVmrwJgd1_rzbHfMC-Sp"
"http://localhost/wiley/wiley19204138.html"	"annotat4@gmail.com"	"sitagliptin_interact with_simvastatin"	"coadministration of sitagliptin and simvastatin had no meaningful effect on the pharmacokinetics for active HMG-CoA reductase inhibitors, with a GMR (90% CI) for AUC0-last and Cmax of 1.06 (0.88, 1.26) and 0.94 (0.66, 1.34), respectively"	"DDI clinical trial"	"interact with"	"sitagliptin"	"simvastatin"	"drug1"	""	""	"refutes"	"12"	"The 12 subjects (9 men and 3 women) randomized in this study"	"200"	"Oral"	"5"	"QD"	""	"20"	""	""	""	""	"Oral"	"1"	"SD"	""	"unchanged"	""	""	"there were no clinically or statistically meaningful differences in AUC0-last, Cmax, or Tmax between treatments for the other 3 analytes evaluated (Table I and Figure 1B-D)."	"unchanged"	""	""	"there were no clinically or statistically meaningful differences in AUC0-last, Cmax, or Tmax between treatments for the other 3 analytes evaluated (Table I and Figure 1B-D)."	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVmWLe7U1_rzbHfMC-Q4"
"http://localhost/springer/springer12603176.html"	"annotat4@gmail.com"	"simvastatin_interact with_bosentan"	"The pharmacokinetic parameters of bosentan and its metabolites were not influenced by concomitant treatment with simvastatin: areas under the plasma concentration-time curve over one administration interval of 12 hours (AUCτ) [geometric mean and 95% CI] were 4586 (3719–5656) and 4928 (3945–6156) μg · h/L."	"DDI clinical trial"	"interact with"	"simvastatin"	"bosentan"	"drug1"	""	""	"refutes"	"9"	"Nine healthy male subjects were treated in a three-period randomised crossover study with: (A) bosentan 125mg twice daily for 5.5 days; (B) simvastatin 40mg once daily for 6 days; and (C) bosentan 125mg twice daily and simvastatin 40mg once daily for 5.5 and 6 days, respectively. Plasma concentration-time profiles of bosentan and its metabolites (treatments A and C) and simvastatin and β-hydroxyacid simvastatin (treatments B and C) were determined on day 6"	"40"	"UNK"	"6"	"QD"	""	"125"	""	""	""	""	"UNK"	"5.5"	"BID"	""	"unchanged"	""	""	"The derived pharmacokinetic parameters of bosentan and its metabolites are presented in table I. ANOVA did not yield any statistically significant differences between the two treatments"	"unchanged"	""	""	"The derived pharmacokinetic parameters of bosentan and its metabolites are presented in table I. ANOVA did not yield any statistically significant differences between the two treatments"	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVmWhPyt1_rzbHfMC-RC"
"http://localhost/springer/springer19071883.html"	"annotat2@gmail.com"	"simvastatin_interact with_mipomersen sodium"	"The area under the plasma concentration-time curve (AUC) from 0 to 24 hours (AUC(24)), maximum plasma concentration and apparent elimination half-life values of mipomersen sodium were similar when administered alone and in combination with oral simvastatin or oral ezetimibe. The 90% confidence intervals of the geometric least squares means ratios (%Reference) of the mipomersen sodium AUC(24) values were 93.6, 107 when administered together with simvastatin, and 92.4, 111 when administered with ezetimibe. Therefore, there were no large deviations outside the default no-effect boundaries (80-125%) for total exposure (the AUC) of mipomersen sodium in combination with either simvastatin or ezetimibe. Similarly, large deviations outside the default no-effect boundaries were not observed for simvastatin, simvastatin acid, or free and total ezetimibe exposure in combination with mipomersen sodium."	"DDI clinical trial"	"interact with"	"simvastatin"	"mipomersen sodium"	"drug1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AVmntOXy1_rzbHfMC-Sa"
"http://localhost/springer/springer19071883.html"	"annotat2@gmail.com"	"ezetimibe_interact with_mipomersen sodium"	"The area under the plasma concentration-time curve (AUC) from 0 to 24 hours (AUC(24)), maximum plasma concentration and apparent elimination half-life values of mipomersen sodium were similar when administered alone and in combination with oral simvastatin or oral ezetimibe. The 90% confidence intervals of the geometric least squares means ratios (%Reference) of the mipomersen sodium AUC(24) values were 93.6, 107 when administered together with simvastatin, and 92.4, 111 when administered with ezetimibe. Therefore, there were no large deviations outside the default no-effect boundaries (80-125%) for total exposure (the AUC) of mipomersen sodium in combination with either simvastatin or ezetimibe. Similarly, large deviations outside the default no-effect boundaries were not observed for simvastatin, simvastatin acid, or free and total ezetimibe exposure in combination with mipomersen sodium"	"DDI clinical trial"	"interact with"	"ezetimibe"	"mipomersen sodium"	"drug1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AVmntBNJ1_rzbHfMC-SZ"
"http://localhost/springer/springer19071883.html"	"annotat2@gmail.com"	"mipomersen sodium_interact with_ezetimibe"	"The area under the plasma concentration-time curve (AUC) from 0 to 24 hours (AUC(24)), maximum plasma concentration and apparent elimination half-life values of mipomersen sodium were similar when administered alone and in combination with oral simvastatin or oral ezetimibe. The 90% confidence intervals of the geometric least squares means ratios (%Reference) of the mipomersen sodium AUC(24) values were 93.6, 107 when administered together with simvastatin, and 92.4, 111 when administered with ezetimibe. Therefore, there were no large deviations outside the default no-effect boundaries (80-125%) for total exposure (the AUC) of mipomersen sodium in combination with either simvastatin or ezetimibe. Similarly, large deviations outside the default no-effect boundaries were not observed for simvastatin, simvastatin acid, or free and total ezetimibe exposure in combination with mipomersen sodium."	"DDI clinical trial"	"interact with"	"mipomersen sodium"	"ezetimibe"	"drug1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AVmnsplr1_rzbHfMC-SY"
"http://localhost/springer/springer19071883.html"	"annotat2@gmail.com"	"mipomersen sodium_interact with_simvastatin"	"The area under the plasma concentration-time curve (AUC) from 0 to 24 hours (AUC(24)), maximum plasma concentration and apparent elimination half-life values of mipomersen sodium were similar when administered alone and in combination with oral simvastatin or oral ezetimibe. The 90% confidence intervals of the geometric least squares means ratios (%Reference) of the mipomersen sodium AUC(24) values were 93.6, 107 when administered together with simvastatin, and 92.4, 111 when administered with ezetimibe. Therefore, there were no large deviations outside the default no-effect boundaries (80-125%) for total exposure (the AUC) of mipomersen sodium in combination with either simvastatin or ezetimibe. Similarly, large deviations outside the default no-effect boundaries were not observed for simvastatin, simvastatin acid, or free and total ezetimibe exposure in combination with mipomersen sodium."	"DDI clinical trial"	"interact with"	"mipomersen sodium"	"simvastatin"	"drug1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AVmnsUXz1_rzbHfMC-SX"
"http://localhost/springer/springer17216557.html"	"annotat4@gmail.com"	"ketoconazole_interact with_lovastatin"	"we report a case of hepatitis and rhabdomyolysis in a patient with hormone refractory prostate cancer on ketoconazole and concurrent lovastatin therapy."	"Case Report"	"interact with"	"ketoconazole"	"lovastatin"	"drug1"	""	""	""	""	""	"400"	"Oral"	"UNK"	"TID"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes|Yes|Yes|Yes|NA|UNK/NA|UNK/NA|UNK/NA|Yes|NA"	"External"	"01/16/2017"	5	""	""	""	"AVmmpbFr1_rzbHfMC-SL"
"http://localhost/springer/springer17624521.html"	"annotat4@gmail.com"	"ciprofloxacin_interact with_clozapine"	"We report a case of similar pharmacokinetic interaction between ciprofloxacin and clozapine, as demonstrated by Raaska et al., but to a much higher degree (i.e. a 500% increase in clozapine levels)."	"Case Report"	"interact with"	"ciprofloxacin"	"clozapine"	"drug1"	""	""	""	""	""	"500"	"UNK"	"14"	"BID"	""	"750"	""	""	""	""	"UNK"	"4"	"QD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes|Yes|Yes|Yes|NA|UNK/NA|Yes|Yes|NA|NA"	"External"	"01/16/2017"	4	""	""	""	"AVmm1K4E1_rzbHfMC-SR"
"http://localhost/springer/springer16328318.html"	"annotat2@gmail.com"	"BAY 59-7939_inhibits_UNK"	"Dose-proportional pharmacokinetics (AUC(tau, norm) and C(max, norm)) were observed at steady state (day 7). Maximum plasma concentrations were achieved after 3-4 h. The terminal half-life of BAY 59-7939 was 5.7-9.2 h at steady state. There was no relevant accumulation at any dose."	"Phenotype clinical study"	"inhibits"	"BAY 59-7939"	""	""	"UNK"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AVmmfe5I1_rzbHfMC-SD"
"http://localhost/springer/springer7875191.html"	"annotat2@gmail.com"	"simvastatin_interact with_ramipril"	"The mean AUC of ramipril for ramipril+placebo (R+P) and ramipril+simvastatin (R+S) was 22.2 and 21.3 ng.h.ml-1, respectively; for ramiprilat the corresponding figures were 61.3 and 57.6 ng.h.ml-1. The urinary excretion of ramipril+metabolites for (R+P) and (R+S) was 25.2 and 24.1% of dose. The maximum percentage inhibition of ACE-activity for (R+P) was 94.6%, and for (R+S) it was 94.1%. It is concluded that concomitant administration of simvastatin and ramipril has no clinically relevant effect on the pharmacokinetics or ACE-inhibition of the latter drug and its metabolites."	"DDI clinical trial"	"interact with"	"simvastatin"	"ramipril"	"drug1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AVmmQKFo1_rzbHfMC-R8"
