name,concept name,RxNorm,MESH,PRO,NDFRT,conceptId,comment,
Fluoxetine,FLUOXETINE,4493,,,,755695,,
fluoxetine,FLUOXETINE,4493,,,,755695,,
fluvastatin,FLUVASTATIN,41127,,,,1549686,,
Fluvoxamine,FLUVOXAMINE,42355,,,,751412,,
fluvoxamine,FLUVOXAMINE,42355,,,,751412,,
fluvoxamine maleate,FLUVOXAMINE MALEATE,203143,,,,19026599,,
fosamprenavir,fosamprenavir,358262,,,,1736829,,
Gemfibrozil,GEMFIBROZIL,4719,,,,1558242,,
gemfibrozil,GEMFIBROZIL,4719,,,,1558242,,
GILENYA,Gilenya,1012896,,,,40226860,,
glipizide,GLIPIZIDE,4821,,,,1560171,,
glyburide,GLYBURIDE,4815,,,,1559684,,
goserelin,GOSERELIN,50610,,,,1366310,,
haloperidol,HALOPERIDOL,5093,,,,766529,,
HIV protease inhibitors,HIV Protease Inhibitors,,D017320,,N0000175520 ,4337030,,
erythrohydrobupropion,hydrobupropion,,C496216,,,,,
threohydrobupropion,hydrobupropion,,C496216,,,,,
threohydrobupropion and erythrohydrobupropion,hydrobupropion,,C496216,,,,,
hydrocodone,HYDROCODONE,5489,,,,1174888,,
hydroxybupropion,hydroxybupropion,,C580748,,,,,
HO-NEF,hydroxynefazodone,,C092333,,,,,
hydroxynefazodone,hydroxynefazodone,,C092333,,,,,
ibuprofen,IBUPROFEN,5640,,,,1177480,,
iloperidone,ILOPERIDONE,73178,,,,19017241,,
Imipramine,IMIPRAMINE,5691,,,,778268,,
imipramine,IMIPRAMINE,5691,,,,778268,,
indinavir,INDINAVIR,114289,,,,1711523,,
INVEGA,Invega,686438,,,,19005338,,
isoniazid,ISONIAZID,6038,,,,1782521,,
itraconazole,ITRACONAZOLE,28031,,,,1703653,,
Ketoconazole,KETOCONAZOLE,6135,,,,985708,,
ketoconazole,KETOCONAZOLE,6135,,,,985708,,
ketoprofen,KETOPROFEN,6142,,,,1185922,,
lamotrigine,LAMOTRIGINE,28439,,,,705103,,
leuprolide,LEUPROLIDE,42375,,,,1351541,,
levomilnacipran,LEVOMILNACIPRAN,1433212,,,,43560354,,
levonorgestrel,LEVONORGESTREL,6373,,,,1589505,,
levothyroxine,LEVOTHYROXINE,10582,,,,1501700,,
Lexapro,Lexapro,352741,,,,19033448,,
linezolid,LINEZOLID,190376,,,,1736887,,
LIPITOR,Lipitor,153165,,,,19023381,,
Lithium,LITHIUM,6448,,,,19124477,,
lithium,LITHIUM,6448,,,,19124477,,
lithium carbonate,LITHIUM CARBONATE,42351,,,,751246,,
Lopinavir,LOPINAVIR,195088,,,,1738170,,
lopinavir,LOPINAVIR,195088,,,,1738170,,
Lopinavir/Ritonavir,lopinavir-ritonavir drug combination,,C558899,,,,,
lopinavir/ritonavir,lopinavir-ritonavir drug combination,,C558899,,,,,
LPV/r,lopinavir-ritonavir drug combination,,C558899 ,,,,,
Lorazepam,LORAZEPAM,6470,,,,791967,,
lorazepam,LORAZEPAM,6470,,,,791967,,
losartan,LOSARTAN,52175,,,,1367500,,
lovastatin,LOVASTATIN,6472,,,,1592085,,
lurasidone,LURASIDONE,1040028,,,,40230761,,
maprotiline,MAPROTILINE,6646,,,,794147,,
mCPP,MCPP protocol,,C060062,,,,,
mesoridazine,Mesoridazine,6779,,,,703083,,
methadone,METHADONE,6813,,,,1103640,,
methamphetamine,METHAMPHETAMINE,6816,,,,704053,,
methotrexate,METHOTREXATE,6851,,,,1305058,,
methylphenidate,METHYLPHENIDATE,6901,,,,705944,,
metoprolol,METOPROLOL,6918,,,,1307046,,
MEVACOR,Mevacor,224938,,,,19087537,,
mexiletine,MEXILETINE,6926,,,,1307542,,
midazolam,MIDAZOLAM,6960,,,,708298,,
milnacipran,MILNACIPRAN,588250,,,,19080226,,
Mirtazapine,MIRTAZAPINE,15996,,,,725131,,
mirtazapine,MIRTAZAPINE,15996,,,,725131,,
mitoxantrone,MITOXANTRONE,7005,,,,1309188,,
naproxen,NAPROXEN,7258,,,,1115008,,
natalizumab,NATALIZUMAB,354770,,,,735843,,
nateglinide,NATEGLINIDE,274332,,,,1502826,,
Nefazodone,NEFAZODONE,31565,,,,714684,,
nefazodone,NEFAZODONE,31565,,,,714684,,
Nelfinavir,NELFINAVIR,134527,,,,1715472,,
nelfinavir,NELFINAVIR,134527,,,,1715472,,
NFV,NELFINAVIR,134527,D019888,,,1715472,,
niacin,NIACIN,7393,,,,1517824,,
N-desmethylclozapine,norclozapine,,C058272,,,,,
N-desmethyldiazepam,Nordazepam,,D003708,,,,,
norethindrone,NORETHINDRONE,7514,,,,1521369,,
norfluoxetine,norfluoxetine,,C036139,,,,,
nortriptyline,NORTRIPTYLINE,7531,,,,721724,,
norverapamil,norverapamil,,C016904,,,,,
Olanzapine,OLANZAPINE,61381,,,,785788,,
olanzapine,OLANZAPINE,61381,,,,785788,,
Omeprazole,OMEPRAZOLE,7646,,,,923645,,
omeprazole,OMEPRAZOLE,7646,,,,923645,,
oxazepam,OXAZEPAM,7781,,,,724816,,
oxycodone,OXYCODONE,7804,,,,1124957,,
paclitaxel,PACLITAXEL,56946,,,,1378382,,
9-hydroxyrisperidone,Paliperidone Palmitate,,D000068882,,,,,
pantoprazole,PANTOPRAZOLE,40790,,,,948078,,
paroxetine,PAROXETINE,32937,,,,722031,,
paroxetine CR,PAROXETINE,32937,,,,722031,,
penicillin G,PENICILLIN G,7980,,,,1728416,,
perphenazine,PERPHENAZINE,8076,,,,733008,,
phenobarbital,PHENOBARBITAL,8134,,,,734275,,
Phenothiazines,Phenothiazine [EPC],,,,N0000175746,4333935,http://bioportal.bioontology.org/ontologies/NDFRT?p=classes&conceptid=N0000175746,
phenothiazines,Phenothiazines,,D010640,,N0000175746,4333935,,
RSV,Phenothiazines,,D010640,,,,,
Phenylpropanolamine,PHENYLPROPANOLAMINE,8175,,, ,1139993,,
Phenytoin,PHENYTOIN,8183,,,,740910,,
phenytoin,PHENYTOIN,8183,,,,740910,,
pimozide,PIMOZIDE,8331,,,,745790,,
pindolol,PINDOLOL,8332,,,,1345858,,
pioglitazone,PIOGLITAZONE,33738,,,,1525215,,
pitavastatin,PITAVASTATIN,861634,,,,40165636,,
posaconazole,POSACONAZOLE,282446,,,,1704139,,
prasugrel,PRASUGREL,613391,,,,40163718,,
pravastatin,PRAVASTATIN,42463,,,,1551860,,
pregabalin,pregabalin,187832,,,,40102084,RxNav: Selected RXCUI = 483435 is obsolete and has been remapped to new Concept RXCUI = 187832,
procyclidine,Procyclidine,8718,,,,752276,,
propafenone,PROPAFENONE,8754,,,,1353256,,
Propranolol,PROPRANOLOL,8787,,,,1353766,,
propranolol,PROPRANOLOL,8787,,,,1353766,,
pseudoephedrine,PSEUDOEPHEDRINE,8896,,,,1154332,,
quazepam,QUAZEPAM,35185,,,,731188,,
Quetiapine,QUETIAPINE,51272,,,,766814,,
quetiapine,QUETIAPINE,51272,,,,766814,,
quinidine,QUINIDINE,9068,,,,1360421,,
rabeprazole,RABEprazole,477402,,,,40077074,RxNav: Selected RXCUI = 477402 is obsolete and has been remapped to new Concept RXCUI = 114979,
ramelteon,RAMELTEON,596205,,,,781182,,
ramipril,RAMIPRIL,35296,,,,1334456,,
Ranitidine,RANITIDINE,9143,,,,961047,,
ranitidine,RANITIDINE,9143,,,,961047,,
repaglinide,REPAGLINIDE,73044,,,,1516766,,
P95,retinoblastoma protein p95,,C062257,,,,,
Rifampin,RIFAMPIN,9384,,,,1763204,,
rifampin,RIFAMPIN,9384,,,,1763204,,
rifampicin,Rifampin,,D012293,,,,,
Risperidone,RISPERIDONE,35636,,,,735979,,
risperidone,RISPERIDONE,35636,,,,735979,,
risperdione,Risperidone,,D018967,,,,,
Ritonavir,RITONAVIR,85762,,,,1748921,,
ritonavir,RITONAVIR,85762,,,,1748921,,
rivaroxaban,RIVAROXABAN,1114195,,,,40241331,,
BAY 59-7939,Rivaroxaban,,D000069552 ,,,,,
rosiglitazone,ROSIGLITAZONE,84108,,,,1547504,,
Rosuvastatin,ROSUVASTATIN,301542,,,,1510813,,
rosuvastatin,ROSUVASTATIN,301542,,,,1510813,,
salicylic acid,SALICYLIC ACID,9525,,,,964407,,
SAPHRIS,Saphris,859976,,,,40165240,,
saquinavir,SAQUINAVIR,83395,,,,1746244,,
Savella,Savella,833136,,,,19045862,,
selegiline,SELEGILINE,9639,,,,766209,,
selective serotonin reuptake inhibitors,Serotonin Reuptake Inhibitor [EPC],,,,N0000175696,4334089,http://bioportal.bioontology.org/ontologies/NDFRT?p=classes&conceptid=N0000175696,
SSRIs,Serotonin Reuptake Inhibitor [EPC],,,,N0000175696,4334089,http://bioportal.bioontology.org/ontologies/NDFRT?p=classes&conceptid=N0000175696,
Sertraline,SERTRALINE,36437,,,,739138,,
sertraline,SERTRALINE,36437,,,,739138,,
simvastatin,SIMVASTATIN,36567,,,,1539403,,
simvastatin acid,simvastatin acid,,C063287,,,,,
sitagliptin,SITAGLIPTIN,593411,,,,1580747,,
OATP1B1,"SLCO1B1 protein, human",,C503999,,,,,
sulforidazine,sulforidazine,,C040634,,,,,
SURMONTIL,Surmontil,225029,,,,19087690,,
tacrine,Tacrine,10318,,,,836654,,
tacrolimus,TACROLIMUS,42316,,,,950637,,
tamoxifen,TAMOXIFEN,10324,,,,1436678,,
Telaprevir,telaprevir,1102261,,,,40239330,,
telaprevir,telaprevir,1102261,,,,40239330,,
telithromycin,TELITHROMYCIN,274786,,,,1702911,,
temazepam,TEMAZEPAM,10355,,,,836715,,
terbinafine,TERBINAFINE,37801,,,,1741309,,
terfenadine,Terfenadine,42330,,,,1150836,,
Teriflunomide,TERIFLUNOMIDE,1310520,,,,42900584,,
teriflunomide,TERIFLUNOMIDE,1310520,,,,42900584,,
theophylline,THEOPHYLLINE,10438,,,,1237049,,
thioridazine,THIORIDAZINE,10502,,,,700299,,
thiothixene,THIOTHIXENE,10510,,,,700465,,
Ticagrelor,TICAGRELOR,1116632,,,,40241186,,
ticagrelor,TICAGRELOR,1116632,,,,40241186,,
Ticlopidine,TICLOPIDINE,10594,,,,1302398,,
ticlopidine,TICLOPIDINE,10594,,,,1302398,,
tipranavir,TIPRANAVIR,190548,,,,1736999,,
tizanidine,TIZANIDINE,57258,,,,778474,,
tolbutamide,TOLBUTAMIDE,10635,,,,1502855,,
tramadol,TRAMADOL,10689,,,,1103314,,
triazolam,TRIAZOLAM,10767,,,,704599,,
triazole-dione,triazole-dione,,C406672,,,,,
TCA,Tricyclic Antidepressant [EPC],,,,N0000175752,4333800,http://bioportal.bioontology.org/ontologies/NDFRT?p=classes&conceptid=N0000175752,
valproate,Valproate,40254,,,,745466,,
valproic acid,VALPROIC ACID,11118,,,,19010963,,
divalproex sodium,Valproic Acid,,D014635,,,,,
venlafaxine,VENLAFAXINE,39786,,,,743670,,
verapamil,VERAPAMIL,11170,,,,1307863,,
vildagliptin,vildagliptin,596554,,,,19122137,,
voriconazole,VORICONAZOLE,121243,,,,1714277,,
Warfarin,WARFARIN,11289,,,,1310149,,
warfarin,WARFARIN,11289,,,,1310149,,
R-warfarin,Warfarin,,D014859,,,,,
S-warfarin,Warfarin,,D014859,,,,,
XARELTO,Xarelto,1114199,,,,40241222,,
Zaleplon,ZALEPLON,74667,,,,720727,,
zaleplon,ZALEPLON,74667,,,,720727,,
zidovudine,ZIDOVUDINE,11413,,,,1710612,,
Ziprasidone,ZIPRASIDONE,115698,,,,712615,,
ziprasidone,ZIPRASIDONE,115698,,,,712615,,
Zolpidem,ZOLPIDEM,39993,,,,744740,,
zolpidem,ZOLPIDEM,39993,,,,744740,,
atorvastatin lactone,,,,,,,PubChem: 6483036,
ATV/RTV,,,,,,,,
azole antifungals,,,,,,,"""non-standard concept id may be 4160920",
CMI,,,,,,,,
CsA,,,,,,,,
darunavir or ritonavir,,,,,,,,
darunavir/ritonavir,,,,,,,," 4305913"""
FPV/RTV,,,,,,,,
hepatic enzyme inducers,,,,,,,,
hepatic enzyme inhibitors,,,,,,,,
mipomersen sodium,,,,,,,"""non-standard concept code 1367838"," concept id 46274505 """
psychostimulants,,,,,,,"""non-standard concept id may be 4194213",
RTV/SQV,,,,,,,,
TPV/r,,,,,,,," 4228543?"""
